Category,Method,BSC_Support,BSC_Attribution,BSC_Multi_Reference_Synthesis,BSC_Balance,BSC_Avg,TSQ_Coverage,TSQ_Boundary_Control,TSQ_Organization,TSQ_Insight,TSQ_Avg,HDQ_Alignment,HDQ_Progression,HDQ_Specificity,HDQ_Local_Synthesis,HDQ_Avg,MAR_References,MAR_Visuals,MAR_Layout,MAR_Completeness,MAR_Avg,Total_Avg
Reference,Human,3.87,3.90,3.53,4.07,3.84,4.23,4.23,4.40,4.30,4.29,4.47,4.07,4.37,4.07,4.24,5.00,5.00,5.00,5.00,5.00,4.34
General,Codex,3.00,3.43,2.73,2.03,2.80,3.00,3.00,3.00,2.97,2.99,3.43,2.43,3.07,2.07,2.75,5.00,1.77,5.00,5.00,4.19,3.18
General,GPT Deep Research,3.57,3.77,3.33,2.60,3.32,3.47,3.50,3.53,3.43,3.48,4.10,3.47,4.00,3.47,3.76,5.00,1.57,5.00,5.00,4.14,3.68
General,Gemini Deep Research,2.83,2.60,2.87,3.50,2.95,3.80,3.83,3.83,3.80,3.82,4.17,3.97,4.17,3.97,4.07,4.60,4.87,4.90,5.00,4.84,3.92
General,Naive RAG,4.00,4.00,3.33,3.60,3.73,3.97,4.30,4.20,3.77,4.06,4.47,3.93,4.53,3.93,4.22,5.00,1.37,5.00,5.00,4.09,4.03
Auto Survey Generation,AutoSurvey,4.00,4.00,3.29,3.95,3.81,4.00,3.86,3.10,4.00,3.74,4.10,3.14,4.24,3.29,3.69,5.00,1.29,5.00,3.38,3.67,3.73
Auto Survey Generation,SurveyForge,4.00,3.90,3.81,3.19,3.73,4.00,4.00,3.24,4.00,3.81,4.10,3.29,4.19,3.38,3.74,5.00,1.29,5.00,4.05,3.83,3.78
Auto Survey Generation,LiRA,3.97,3.97,3.57,3.00,3.63,4.00,3.33,3.53,4.00,3.72,3.97,3.90,4.43,3.93,4.06,3.00,1.40,4.87,3.00,3.07,3.62
Auto Survey Generation,InteractiveSurvey,3.10,3.00,1.93,2.97,2.75,4.00,3.70,3.83,4.00,3.88,3.80,3.93,4.00,4.00,3.93,4.13,4.77,4.83,5.00,4.68,3.81
Proposed,DAS,4.00,4.03,4.00,3.37,3.85,4.00,4.00,4.37,4.50,4.22,4.27,4.13,4.53,4.17,4.28,5.00,5.00,5.00,5.00,5.00,4.34
