Category,Method,BSC_Support,BSC_Attribution,BSC_Multi_Reference_Synthesis,BSC_Balance,BSC_Avg,TSQ_Coverage,TSQ_Boundary_Control,TSQ_Organization,TSQ_Insight,TSQ_Avg,HDQ_Alignment,HDQ_Progression,HDQ_Specificity,HDQ_Local_Synthesis,HDQ_Avg,MAR_References,MAR_Visuals,MAR_Layout,MAR_Completeness,MAR_Avg,Total_Avg
Reference,Human,3.86,3.90,3.67,4.14,3.89,4.29,4.38,4.43,4.38,4.37,4.43,4.14,4.38,4.14,4.27,5.00,5.00,5.00,5.00,5.00,4.38
General,Codex,3.00,3.33,2.76,2.05,2.79,3.00,3.00,3.00,2.95,2.99,3.48,2.48,3.05,2.00,2.75,5.00,1.81,5.00,5.00,4.20,3.18
General,GPT Deep Research,3.67,3.76,3.48,2.71,3.40,3.48,3.52,3.57,3.48,3.51,4.14,3.52,4.00,3.52,3.80,5.00,1.57,5.00,5.00,4.14,3.71
General,Gemini Deep Research,2.95,2.86,2.81,3.62,3.06,3.81,3.86,3.86,3.76,3.82,4.14,3.95,4.14,3.95,4.05,4.43,4.81,4.86,5.00,4.77,3.93
General,Naive RAG,4.00,4.00,3.19,3.48,3.67,3.95,4.19,4.10,3.76,4.00,4.33,3.81,4.48,3.81,4.11,5.00,1.29,5.00,5.00,4.07,3.96
Auto Survey Generation,AutoSurvey,4.00,4.00,3.29,3.95,3.81,4.00,3.86,3.10,4.00,3.74,4.10,3.14,4.24,3.29,3.69,5.00,1.29,5.00,3.38,3.67,3.73
Auto Survey Generation,SurveyForge,4.00,3.90,3.81,3.19,3.73,4.00,4.00,3.24,4.00,3.81,4.10,3.29,4.19,3.38,3.74,5.00,1.29,5.00,4.05,3.83,3.78
Auto Survey Generation,LiRA,3.95,3.95,3.62,3.00,3.63,4.00,3.29,3.52,4.00,3.70,4.00,3.86,4.38,3.95,4.05,3.00,1.33,4.81,3.00,3.04,3.60
Auto Survey Generation,InteractiveSurvey,3.10,3.10,2.05,3.05,2.82,4.00,3.76,3.86,4.00,3.90,3.81,3.95,4.00,4.00,3.94,4.43,4.86,4.86,5.00,4.79,3.86
Proposed,DAS,4.00,4.05,4.00,3.43,3.87,4.00,4.00,4.29,4.43,4.18,4.24,4.10,4.52,4.14,4.25,5.00,5.00,5.00,5.00,5.00,4.32
